Título;Endereço;Taxa;Área;Quartos;Banheiros;Suítes;Vagas;Preço
Apartamento com 3 Quartos à Venda, 115m²;Rua Monte Alegre, 2 - Praia do Meio, Natal - RN;R$ 900;115;3;4;4;2;R$ 499.000
Apartamento com 3 Quartos à Venda, 150m²;Rua Ângelo Varela, 1130 - Tirol, Natal - RN;R$ 980;150;3;5;5;3;R$ 900.000
Apartamento com 3 Quartos à Venda, 152m²;Avenida Miguel Castro - Lagoa Nova, Natal - RN;R$ 1.200;152;3;5;5;3;R$ 470.000
Apartamento com 2 Quartos à Venda, 55m²;Avenida Governador Juvenal Lamartine - Tirol, Natal - RN;;55;2;2;2;1;R$ 263.113
Apartamento com 2 Quartos à Venda, 67m²;Rua Lúcia Viveiros - Neópolis, Natal - RN;R$ 360;67;2;2;2;6;R$ 330.000
Apartamento com 3 Quartos à Venda, 150m²;Rua Ângelo Varela, 1130 - Tirol, Natal - RN;R$ 900;150;3;5;5;3;R$ 900.000
Apartamento com 3 Quartos à Venda, 196m²;Rua Ismael Pereira da Silva, 334 - Capim Macio, Natal - RN;R$ 1.200;196;3;4;4;3;R$ 1.350.000
Apartamento com 3 Quartos à Venda, 147m²;Avenida Afonso Pena, 3 - Tirol, Natal - RN;;147;3;2;2;2;R$ 460.000
Apartamento com 2 Quartos à Venda, 56m²;Rua Enéas Reis, 765 - Petrópolis, Natal - RN;R$ 400;56;2;1;1;--;R$ 239.900
Apartamento com 4 Quartos à Venda, 550m²;Rua Anita Garibaldi, 1990 - Candelária, Natal - RN;R$ 1.750;550;4;5;5;4;R$ 1.500.000
Apartamento com 4 Quartos à Venda, 150m²;Rua General Gustavo Cordeiro de Faria, 434 - Petrópolis, Natal - RN;R$ 1.130;150;4;4;4;3;R$ 750.000
Apartamento com 3 Quartos à Venda, 135m²;Rua Vereadora Maria Queiroz, 176 - Lagoa Nova, Natal - RN;R$ 700;135;3;4;4;3;R$ 829.000
Apartamento com 2 Quartos à Venda, 59m²;Avenida Deputado Antônio Florêncio de Queiroz, 2995 - Ponta Negra, Natal - RN;R$ 300;59;2;1;1;1;R$ 240.000
Apartamento com 3 Quartos à Venda, 110m²;Rua Vereador Manoel Sátiro, 248 - Ponta Negra, Natal - RN;R$ 1.380;110;3;1;1;2;R$ 469.900
Apartamento com 4 Quartos à Venda, 222m²; | Tirol, Natal - RN;R$ 1.250;222;4;5;5;4;R$ 1.360.000
Apartamento com 3 Quartos à Venda, 157m²;Rua Neuza Farache, 1971 - Capim Macio, Natal - RN;R$ 450;157;3;2;2;2;R$ 480.000
Apartamento com 3 Quartos à Venda, 92m²;Avenida Senador Salgado Filho, 2014 - Lagoa Nova, Natal - RN;R$ 600;92;3;2;2;2;R$ 495.000
Apartamento com 4 Quartos à Venda, 110m²;Avenida Praia de Ponta Negra, 9176 - Ponta Negra, Natal - RN;R$ 900;110;4;3;3;2;R$ 1.080.000
Apartamento com 2 Quartos à Venda, 54m²;Rua Cristais de Gelo, 880 - Redinha, Natal - RN;;54;2;2;2;1;R$ 137.900
Apartamento com 2 Quartos à Venda, 56m²;Rua Barão de Lucena, 62 - Pitimbu, Natal - RN;R$ 246;56;2;2;2;1;R$ 155.000
Apartamento com Quarto à Venda, 100m²;Rua Ismael Pereira da Silva - Capim Macio, Natal - RN;R$ 470;100;1;3;3;2;R$ 550.000
Apartamento com 4 Quartos à Venda, 235m²;Rua Maria Auxiliadora, 799 - Tirol, Natal - RN;R$ 1.650;235;4;6;6;3;R$ 765.000
