Título;Endereço;Taxa;Área;Quartos;Banheiros;Suítes;Vagas;Preço
Apartamento com 2 Quartos à Venda, 57m²;Rua das Algarobas - Pitimbu, Natal - RN;;57;2;2;2;2;R$ 200.000
Apartamento com 3 Quartos à Venda, 111m²; | Tirol, Natal - RN;R$ 730;111;3;4;4;2;R$ 630.000
Apartamento com 4 Quartos à Venda, 238m²; | Tirol, Natal - RN;;238;4;1;1;3;R$ 1.100.000
Apartamento com 3 Quartos à Venda, 56m²; | Ponta Negra, Natal - RN;;56;3;1;1;2;R$ 649.000
Apartamento com 2 Quartos à Venda, 49m²; | Planalto, Natal - RN;R$ 290;49;2;1;1;1;R$ 90.000
Apartamento com 3 Quartos à Venda, 110m²; | Lagoa Nova, Natal - RN;R$ 330;110;3;1;1;2;R$ 330.000
Apartamento à Venda, 358m²; | Petrópolis, Natal - RN;R$ 1.800;358;--;6;6;6;R$ 2.200.000
Apartamento com 4 Quartos à Venda, 220m²; | Lagoa Nova, Natal - RN;R$ 1.600;220;4;6;6;2;R$ 750.000
Apartamento com 3 Quartos à Venda, 147m²;Rua Doutor Carlos Passos - Tirol, Natal - RN;;147;3;3;3;2;R$ 550.000
Apartamento com 2 Quartos à Venda, 55m²; | Capim Macio, Natal - RN;R$ 414;55;2;1;1;2;R$ 320.000
Apartamento com 3 Quartos à Venda, 136m²; | Tirol, Natal - RN;R$ 1.370;136;3;3;3;1;R$ 280.000
Apartamento com 2 Quartos à Venda, 75m²;Rua Baraúna - Alecrim, Natal - RN;;75;2;1;1;1;R$ 150.000
Apartamento com 2 Quartos à Venda, 54m²; | PARNAMIRIM, Natal - RN;R$ 270;54;2;1;1;1;R$ 100.000
Apartamento com 2 Quartos à Venda, 77m²; | Nova Descoberta, Natal - RN;R$ 320;77;2;2;2;1;R$ 160.000
Apartamento com 3 Quartos à Venda, 180m²;Rua Antídio de Azevedo - Lagoa Nova, Natal - RN;R$ 900;180;3;1;1;3;R$ 865.500
Apartamento com 3 Quartos à Venda, 100m²;Rua Desembargador José Gomes da Costa - Capim Macio, Natal - RN;R$ 880;100;3;1;1;2;R$ 380.000
Apartamento com 3 Quartos à Venda, 107m²; | Lagoa Nova, Natal - RN;R$ 770;107;3;4;4;2;R$ 450.000
Apartamento com 4 Quartos à Venda, 148m²; | Candelária, Natal - RN;R$ 1.260;148;4;5;5;3;R$ 550.000
Apartamento com 4 Quartos à Venda, 336m²; | Tirol, Natal - RN;R$ 2.000;336;4;5;5;4;R$ 3.150.000
Apartamento com 3 Quartos à Venda, 100m²; | Lagoa Nova, Natal - RN;;100;3;4;4;2;R$ 580.000
Apartamento com 4 Quartos à Venda, 196m²; | Capim Macio, Natal - RN;;196;4;5;5;3;R$ 1.650.000
Apartamento com 3 Quartos à Venda, 136m²; | Tirol, Natal - RN;R$ 800;136;3;4;4;2;R$ 680.000
Apartamento com 3 Quartos à Venda, 75m²;Rua Industrial João Motta - Capim Macio, Natal - RN;;75;3;2;2;1;R$ 225.000
Apartamento com 2 Quartos à Venda, 57m²; | Tirol, Natal - RN;R$ 400;57;2;2;2;1;R$ 300.000
Apartamento com 2 Quartos à Venda, 10m²; | Planalto, Natal - RN;R$ 170;10;2;1;1;1;R$ 140.000
Apartamento com 2 Quartos à Venda, 54m²; | Ponta Negra, Natal - RN;R$ 402;54;2;1;1;1;R$ 180.000
Apartamento com 3 Quartos à Venda, 123m²;Rua Jaguarari, 4985 - Candelária, Natal - RN;R$ 550;123;3;1;1;2;R$ 615.000
Apartamento com 3 Quartos à Venda, 202m²; | Capim Macio, Natal - RN;R$ 1.300;202;3;3;3;2;R$ 600.000
Apartamento com 3 Quartos à Venda, 91m²;Rua José M. de Vasconcelos, 1950 - Capim Macio, Natal - RN;R$ 1.000;91;3;1;1;2;R$ 320.000
Apartamento com 3 Quartos à Venda, 83m²; | PARNAMIRIM, Natal - RN;R$ 402;83;3;1;1;1;R$ 230.000
Apartamento com 3 Quartos à Venda, 220m²; | Candelária, Natal - RN;R$ 1.500;220;3;1;1;3;R$ 790.000
Apartamento com 3 Quartos à Venda, 143m²; | Lagoa Nova, Natal - RN;R$ 1.000;143;3;1;1;2;R$ 690.000
Apartamento com 2 Quartos à Venda, 56m²; | Tirol, Natal - RN;R$ 450;56;2;2;2;1;R$ 250.000
Apartamento com 4 Quartos à Venda, 157m²;Rua General Oliveira Galvão - Tirol, Natal - RN;;157;4;1;1;3;R$ 590.000
Apartamento com 2 Quartos à Venda, 57m²; | Capim Macio, Natal - RN;R$ 450;57;2;1;1;1;R$ 220.000
Apartamento com 3 Quartos à Venda, 117m²;Rua Fernando Barreto - Lagoa Nova, Natal - RN;;117;3;4;4;2;R$ 800.000
Apartamento com 3 Quartos à Venda, 118m²;Rua Doutor Francisco Leite de Carvalho, 2377 - Lagoa Nova, Natal - RN;;118;3;5;5;1;R$ 600.000
Apartamento com 2 Quartos à Venda, 56m²;Avenida Engenheiro Roberto Freire - Ponta Negra, Natal - RN;;56;2;2;2;1;R$ 235.000
Apartamento com 3 Quartos à Venda, 98m²; | Lagoa Nova, Natal - RN;;98;3;1;1;1;R$ 210.000
Apartamento com 4 Quartos à Venda, 155m²; | Tirol, Natal - RN;R$ 900;155;4;1;1;3;R$ 1.050.000
Apartamento com 4 Quartos à Venda, 163m²;Avenida Campos Sáles, 384 - Tirol, Natal - RN;R$ 900;163;4;1;1;4;R$ 1.300.000
Apartamento com 3 Quartos à Venda, 115m²;Rua Jornalista Francisco Sinedino - Lagoa Nova, Natal - RN;;115;3;4;4;2;R$ 650.000
Apartamento com 3 Quartos à Venda, 103m²; | Barro Vermelho, Natal - RN;R$ 350;103;3;2;2;2;R$ 615.600
Apartamento com 4 Quartos à Venda, 120m²;Rua Valter Fernandes - Capim Macio, Natal - RN;;120;4;3;3;--;R$ 640.000
Apartamento com 4 Quartos à Venda, 163m²;Avenida Campos Sáles, 384 - Tirol, Natal - RN;;163;4;1;1;3;R$ 1.160.000
Apartamento com 4 Quartos à Venda, 136m²; | Tirol, Natal - RN;R$ 1.000;136;4;5;5;2;R$ 619.900
Apartamento com 2 Quartos à Venda, 55m²; | Ponta Negra, Natal - RN;R$ 405;55;2;1;1;1;R$ 210.000
Apartamento com 3 Quartos à Venda, 105m²; | Candelária, Natal - RN;R$ 700;105;3;4;4;2;R$ 460.000
Apartamento com 3 Quartos à Venda, 155m²; | Tirol, Natal - RN;R$ 1.400;155;3;3;3;2;R$ 490.000
Apartamento com 4 Quartos à Venda, 176m²; | Lagoa Nova, Natal - RN;R$ 1.580;176;4;3;3;2;R$ 395.000
Apartamento com 3 Quartos à Venda, 75m²;Rua Lúcia Viveiros, 0 - Neópolis, Natal - RN;;75;3;2;2;1;R$ 300.000
Apartamento com 2 Quartos à Venda, 55m²; | Lagoa Nova, Natal - RN;R$ 457;55;2;1;1;1;R$ 200.000
Apartamento com 3 Quartos à Venda, 105m²; | Candelária, Natal - RN;R$ 800;105;3;3;3;2;R$ 320.000
Apartamento com 3 Quartos à Venda, 100m²;Rua Marize Bastier - Lagoa Nova, Natal - RN;R$ 839;100;3;1;1;2;R$ 400.000
Apartamento com 3 Quartos à Venda, 114m²; | Lagoa Nova, Natal - RN;;114;3;1;1;2;R$ 710.000
Apartamento com 4 Quartos à Venda, 283m²; | Tirol, Natal - RN;R$ 1.932;283;4;6;6;3;R$ 1.500.000
Apartamento com 3 Quartos à Venda, 99m²; | Tirol, Natal - RN;R$ 729;99;3;2;2;2;R$ 510.000
Apartamento com 3 Quartos à Venda, 108m²; | Lagoa Nova, Natal - RN;R$ 770;108;3;2;2;2;R$ 450.000
Apartamento com 3 Quartos à Venda, 155m²;Rua Tereza Campos - Lagoa Nova, Natal - RN;;155;3;3;3;3;R$ 710.000
Apartamento com 4 Quartos à Venda, 400m²;Avenida Marechal Floriano Peixoto - Petrópolis, Natal - RN;;400;4;6;6;4;R$ 2.600.000
Apartamento com 3 Quartos à Venda, 95m²;Av. Amitas barros, 1480 - Lagoa Nova, Natal - RN;;95;3;3;3;2;R$ 390.000
Apartamento com 4 Quartos à Venda, 196m²;Rua Ismael Pereira da Silva - Capim Macio, Natal - RN;;196;4;4;4;4;R$ 1.500.000
Apartamento com 4 Quartos à Venda, 170m²;Travessa Antônio Basílio - Lagoa Nova, Natal - RN;;170;4;4;4;3;R$ 825.000
Apartamento com 2 Quartos à Venda, 60m²; | Ponta Negra, Natal - RN;R$ 210;60;2;1;1;1;R$ 280.000
Apartamento com 3 Quartos à Venda, 80m²; | Capim Macio, Natal - RN;R$ 535;80;3;1;1;1;R$ 250.000
Apartamento com 3 Quartos à Venda, 145m²; | Capim Macio, Natal - RN;R$ 1.360;145;3;3;3;2;R$ 600.000
Apartamento com 3 Quartos à Venda, 103m²;Rua Alexandre Câmara - Capim Macio, Natal - RN;;103;3;3;3;3;R$ 605.000
Apartamento com 2 Quartos à Venda, 51m²;Avenida dos Caiapós, 1945 - Pitimbu, Natal - RN;R$ 290;51;2;1;1;1;R$ 145.000
Apartamento com 4 Quartos à Venda, 187m²; | Tirol, Natal - RN;R$ 1;187;4;6;6;4;R$ 1.125.000
Apartamento com 3 Quartos à Venda, 95m²; | Tirol, Natal - RN;R$ 480;95;3;2;2;1;R$ 250.000
Apartamento com 2 Quartos à Venda, 61m²; | Planalto, Natal - RN;;61;2;1;1;1;R$ 135.000
Apartamento com 3 Quartos à Venda, 103m²; | Petrópolis, Natal - RN;R$ 501;103;3;3;3;2;R$ 650.000
Apartamento com 2 Quartos à Venda, 56m²; | Ponta Negra, Natal - RN;R$ 427;56;2;1;1;1;R$ 350.000
Apartamento com 4 Quartos à Venda, 98m²; | Capim Macio, Natal - RN;R$ 630;98;4;3;3;2;R$ 450.000
Apartamento com 2 Quartos à Venda, 58m²; | Ribeira, Natal - RN;R$ 348;58;2;2;2;2;R$ 240.000
Apartamento com 3 Quartos à Venda, 78m²;Rua Água Marinha - Lagoa Nova, Natal - RN;;78;3;3;3;2;R$ 200.000
Apartamento com Quarto à Venda, 63m²; | Lagoa Nova, Natal - RN;R$ 160;63;1;1;1;1;R$ 130.000
Apartamento com 3 Quartos à Venda, 140m²; | Ponta Negra, Natal - RN;R$ 900;140;3;2;2;2;R$ 980.000
Apartamento com 3 Quartos à Venda, 130m²;Avenida Romualdo Galvão - Tirol, Natal - RN;R$ 800;130;3;2;2;2;R$ 350.000
Apartamento com 3 Quartos à Venda, 110m²; | Lagoa Nova, Natal - RN;R$ 550;110;3;1;1;2;R$ 350.000
Apartamento com 3 Quartos à Venda, 93m²; | PARNAMIRIM, Natal - RN;R$ 400;93;3;1;1;2;R$ 330.000
Apartamento com 2 Quartos à Venda, 50m²; | Lagoa Nova, Natal - RN;R$ 460;50;2;2;2;1;R$ 175.000
Apartamento com 4 Quartos para Venda/Aluguel 230m²; | Petrópolis, Natal - RN;R$ 1.200;230;4;4;4;4;R$ 565.000
Apartamento com 3 Quartos à Venda, 96m²; | Candelária, Natal - RN;R$ 549;96;3;3;3;2;R$ 490.000
Apartamento com 3 Quartos à Venda, 84m²; | Ponta Negra, Natal - RN;R$ 310;84;3;2;2;2;R$ 349.900
Apartamento com 2 Quartos à Venda, 56m²; | Cidade da Esperança, Natal - RN;R$ 220;56;2;2;2;1;R$ 120.000
Apartamento com 3 Quartos à Venda, 160m²;Avenida Nascimento de Castro - Lagoa Nova, Natal - RN;;160;3;4;4;3;R$ 780.000
Apartamento com 2 Quartos à Venda, 50m²; | Dix-sept Rosado, Natal - RN;R$ 220;50;2;1;1;1;R$ 100.000
Apartamento com 4 Quartos à Venda, 200m²; | Tirol, Natal - RN;R$ 1.500;200;4;5;5;2;R$ 900.000
Apartamento com 3 Quartos à Venda, 89m²; | Neópolis, Natal - RN;R$ 310;89;3;3;3;2;R$ 340.000
Apartamento com 2 Quartos à Venda, 62m²;Rua Desembargador Virgílio Dantas, 740 - Barro Vermelho, Natal - RN;R$ 520;62;2;2;2;1;R$ 250.000
Apartamento com 3 Quartos à Venda, 92m²; | Lagoa Nova, Natal - RN;R$ 480;92;3;1;1;2;R$ 578.000
Apartamento com 5 Quartos à Venda, 296m²; | Capim Macio, Natal - RN;;296;5;6;6;3;R$ 1.100.000
Apartamento com 3 Quartos à Venda, 97m²; | Barro Vermelho, Natal - RN;R$ 642;97;3;2;2;2;R$ 460.000
Apartamento com 2 Quartos à Venda, 57m²;Rua Apodi - Tirol, Natal - RN;;57;2;2;2;1;R$ 240.000
Apartamento à Venda, 400m²; | Petrópolis, Natal - RN;R$ 2.200;400;--;6;6;4;R$ 2.280.000
Apartamento com 3 Quartos à Venda, 76m²; | Tirol, Natal - RN;R$ 1;76;3;2;2;2;R$ 423.150
Apartamento com 4 Quartos à Venda, 214m²; | Petrópolis, Natal - RN;R$ 1.543;214;4;6;6;3;R$ 950.000
Apartamento com 3 Quartos à Venda, 96m²; | Tirol, Natal - RN;R$ 840;96;3;3;3;2;R$ 340.000
Apartamento com 3 Quartos à Venda, 108m²;Rua Aguinaldo Gurgel Júnior - Candelária, Natal - RN;;108;3;3;3;2;R$ 425.000
Apartamento com 2 Quartos à Venda, 56m²; | Petrópolis, Natal - RN;R$ 485;56;2;1;1;1;R$ 200.000
Apartamento com 3 Quartos à Venda, 129m²; | Lagoa Nova, Natal - RN;R$ 650;129;3;5;5;3;R$ 720.000
Apartamento com Quarto à Venda, 55m²; | Areia Preta, Natal - RN;;55;1;1;1;1;R$ 275.000
Apartamento com 2 Quartos à Venda, 58m²; | Lagoa Nova, Natal - RN;R$ 460;58;2;1;1;1;R$ 230.000
Apartamento com 4 Quartos à Venda, 266m²; | Tirol, Natal - RN;R$ 1.514;266;4;6;6;3;R$ 1.100.000
Apartamento com 2 Quartos à Venda, 54m²; | Candelária, Natal - RN;R$ 600;54;2;1;1;1;R$ 235.000
Apartamento com 2 Quartos à Venda, 58m²;Rua dos Pintassilgos - Pitimbu, Natal - RN;;58;2;2;2;1;R$ 200.000
Apartamento com 2 Quartos à Venda, 60m²;Rua Carapeba - Ponta Negra, Natal - RN;;60;2;2;2;1;R$ 226.000
Apartamento com 3 Quartos à Venda, 105m²;Rua Coronel Joaquim Correia, 2120 - Candelária, Natal - RN;R$ 800;105;3;2;2;2;R$ 380.000
Apartamento com 2 Quartos à Venda, 56m²; | Neópolis, Natal - RN;R$ 358;56;2;2;2;1;R$ 230.000
Apartamento com 4 Quartos à Venda, 360m²;Rua Miguel Barra - Tirol, Natal - RN;;360;4;5;5;3;R$ 1.500.000
Apartamento com 3 Quartos à Venda/Aluguel 102m²;Rua Carapeba, 115 - Ponta Negra, Natal - RN;;102;3;4;4;2;R$ 400.000
Apartamento com 3 Quartos à Venda, 160m²; | Lagoa Nova, Natal - RN;R$ 505;160;3;1;1;3;R$ 780.000
Apartamento com 4 Quartos à Venda, 146m²; | Tirol, Natal - RN;R$ 720;146;4;2;2;2;R$ 450.000
Apartamento com 3 Quartos à Venda, 98m²; | Capim Macio, Natal - RN;;98;3;1;1;1;R$ 260.000
Apartamento com 2 Quartos à Venda, 56m²; | Ponta Negra, Natal - RN;R$ 700;56;2;1;1;--;R$ 265.000
Apartamento com 3 Quartos à Venda, 98m²;Avenida Senador Salgado Filho - Neópolis, Natal - RN;R$ 600;98;3;1;1;2;R$ 350.000
Apartamento com 3 Quartos à Venda, 75m²; | Ribeira, Natal - RN;R$ 320;75;3;2;2;2;R$ 268.000
Apartamento com 2 Quartos à Venda, 55m²;Avenida Amintas Barros - Lagoa Nova, Natal - RN;;55;2;2;2;1;R$ 230.000
Apartamento com Quarto à Venda, 55m²;Rua Mipibu, 765 - Petrópolis, Natal - RN;R$ 480;55;1;1;1;1;R$ 230.000
Apartamento com 3 Quartos à Venda, 140m²; | Barro Vermelho, Natal - RN;R$ 1.200;140;3;3;3;2;R$ 380.000
Apartamento com Quarto à Venda, 48m²; | Ponta Negra, Natal - RN;R$ 1.000;48;1;1;1;1;R$ 280.000
Apartamento com 3 Quartos à Venda, 99m²; | Tirol, Natal - RN;R$ 630;99;3;2;2;2;R$ 490.000
Apartamento com 3 Quartos à Venda, 90m²;Rua Epitácio Andrade, 1350 - Barro Vermelho, Natal - RN;;90;3;2;2;2;R$ 299.000
Apartamento com 3 Quartos à Venda, 123m²; | Candelária, Natal - RN;R$ 750;123;3;5;5;2;R$ 530.000
Apartamento com 2 Quartos à Venda, 57m²;Avenida das Brancas Dunas, 65 - Candelária, Natal - RN;R$ 330;57;2;2;2;1;R$ 210.000
Apartamento com 3 Quartos à Venda, 179m²;Rua Jaguarari - Lagoa Nova, Natal - RN;;179;3;1;1;3;R$ 978.000
Apartamento com 2 Quartos à Venda, 96m²;Avenida Deputado Antônio Florêncio de Queiroz, 270 - Ponta Negra, Natal - RN;R$ 270;96;2;1;1;1;R$ 175.000
Apartamento com 3 Quartos à Venda, 190m²; | Candelária, Natal - RN;R$ 1.450;190;3;1;1;3;R$ 670.000
Apartamento com 3 Quartos à Venda, 102m²;Avenida Almirante Alexandrino de Alencar, 1320 - Tirol, Natal - RN;;102;3;2;2;3;R$ 610.800
Apartamento com 2 Quartos à Venda, 55m²;Rua Fernando Barreto, 1050 - Lagoa Nova, Natal - RN;R$ 300;55;2;1;1;--;R$ 289.578
Apartamento com 3 Quartos à Venda, 113m²; | Lagoa Nova, Natal - RN;R$ 500;113;3;1;1;2;R$ 560.000
Apartamento com 3 Quartos à Venda, 98m²; | Capim Macio, Natal - RN;;98;3;1;1;2;R$ 420.000
Apartamento com 2 Quartos à Venda, 58m²;Rua Maria Auxiliadora, 773 - Tirol, Natal - RN;R$ 594;58;2;2;2;1;R$ 209.000
Apartamento com 3 Quartos à Venda, 90m²; | Barro Vermelho, Natal - RN;R$ 860;90;3;2;2;2;R$ 360.000
Apartamento com Quarto à Venda, 58m²; | Lagoa Nova, Natal - RN;R$ 500;58;1;1;1;1;R$ 160.000
Apartamento com 3 Quartos à Venda, 210m²; | Lagoa Nova, Natal - RN;R$ 1.000;210;3;1;1;--;R$ 700.000
Apartamento com 4 Quartos à Venda, 10m²; | Areia Preta, Natal - RN;R$ 3.460;10;4;1;1;4;R$ 3.000.000
Apartamento com 3 Quartos à Venda, 115m²; | Lagoa Seca, Natal - RN;R$ 1.000;115;3;1;1;2;R$ 415.000
Apartamento com 2 Quartos à Venda, 61m²; | PARNAMIRIM, Natal - RN;R$ 278.000;61;2;1;1;1;R$ 175.000
Apartamento com 2 Quartos à Venda, 79m²; | Ponta Negra, Natal - RN;;79;2;1;1;2;R$ 570.000
Apartamento com 3 Quartos à Venda, 87m²;Rua Lúcia Viveiros - Neópolis, Natal - RN;;87;3;2;2;1;R$ 360.000
Apartamento à Venda, 196m²; | Capim Macio, Natal - RN;;196;--;5;5;3;R$ 1.250.000
Apartamento com 2 Quartos à Venda, 51m²;Avenida dos Caiapós, 1945 - Pitimbu, Natal - RN;;51;2;1;1;1;R$ 145.000
Apartamento com 4 Quartos à Venda, 153m²; | Capim Macio, Natal - RN;R$ 600;153;4;1;1;2;R$ 680.000
Apartamento com 3 Quartos à Venda, 80m²; | Capim Macio, Natal - RN;R$ 450;80;3;1;1;1;R$ 290.000
Apartamento com 2 Quartos à Venda, 55m²; | Ponta Negra, Natal - RN;R$ 325;55;2;2;2;1;R$ 239.000
Apartamento com 3 Quartos à Venda, 175m²; | Tirol, Natal - RN;R$ 1.150;175;3;1;1;2;R$ 530.000
Apartamento com 3 Quartos à Venda, 271m²;Rua Joaquim Fabrício - Petrópolis, Natal - RN;;271;3;4;4;3;R$ 1.490.000
Apartamento com 2 Quartos à Venda, 62m²; | Lagoa Nova, Natal - RN;R$ 395;62;2;1;1;1;R$ 250.000
Apartamento com 2 Quartos à Venda, 52m²; | Ponta Negra, Natal - RN;R$ 315;52;2;1;1;1;R$ 239.000
Apartamento com 3 Quartos à Venda, 195m²; | Lagoa Nova, Natal - RN;R$ 1.200;195;3;1;1;3;R$ 850.000
Apartamento com 3 Quartos à Venda, 157m²; | Capim Macio, Natal - RN;R$ 450;157;3;1;1;1;R$ 460.000
Apartamento com 3 Quartos à Venda, 93m²; | Candelária, Natal - RN;R$ 650;93;3;3;3;2;R$ 450.000
Apartamento com 3 Quartos à Venda, 96m²; | Candelária, Natal - RN;;96;3;2;2;2;R$ 400.000
Apartamento com 3 Quartos à Venda, 196m²; | Capim Macio, Natal - RN;;196;3;3;3;4;R$ 1.200.000
Apartamento com 2 Quartos à Venda, 58m²; | Ribeira, Natal - RN;R$ 305;58;2;2;2;2;R$ 256.000
Apartamento com 3 Quartos à Venda, 102m²;Rua Monsenhor Severiano, 547 - Petrópolis, Natal - RN;;102;3;2;2;2;R$ 350.000
Apartamento com 3 Quartos à Venda, 132m²; | Tirol, Natal - RN;R$ 1;132;3;4;4;2;R$ 801.567
Apartamento com 2 Quartos à Venda, 55m²; | Candelária, Natal - RN;R$ 355;55;2;1;1;1;R$ 280.000
Apartamento com 3 Quartos à Venda, 119m²; | Tirol, Natal - RN;R$ 1.000;119;3;5;5;--;R$ 650.000
Apartamento com 2 Quartos à Venda, 55m²;Rua Doutor José Bezerra, 950 - Barro Vermelho, Natal - RN;;55;2;2;2;1;R$ 200.000
Apartamento com 2 Quartos à Venda, 51m²; | Capim Macio, Natal - RN;R$ 300;51;2;1;1;2;R$ 209.000
Apartamento com 3 Quartos à Venda, 110m²; | Lagoa Nova, Natal - RN;R$ 730;110;3;1;1;--;R$ 550.000
Apartamento com 3 Quartos à Venda, 92m²; | Capim Macio, Natal - RN;R$ 415;92;3;3;3;2;R$ 460.000
Apartamento com 2 Quartos à Venda, 58m²; | Ponta Negra, Natal - RN;R$ 250;58;2;1;1;1;R$ 299.300
Apartamento com 4 Quartos à Venda, 196m²; | Capim Macio, Natal - RN;;196;4;1;1;4;R$ 1.400.000
Apartamento com 2 Quartos à Venda, 54m²; | Pitimbu, Natal - RN;;54;2;1;1;1;R$ 129.000
Apartamento com 3 Quartos à Venda, 116m²; | Ponta Negra, Natal - RN;;116;3;1;1;2;R$ 650.000
Apartamento com 3 Quartos à Venda, 120m²; | Lagoa Seca, Natal - RN;;120;3;1;1;2;R$ 450.000
Apartamento com 2 Quartos à Venda, 55m²;Avenida Interventor Mário Câmara, 4484 - Cidade da Esperança, Natal - RN;;55;2;1;1;1;R$ 100.000
Apartamento com 2 Quartos à Venda, 55m²; | Ponta Negra, Natal - RN;R$ 350;55;2;2;2;1;R$ 220.000
Apartamento com 4 Quartos à Venda, 286m²; | Areia Preta, Natal - RN;R$ 1.700;286;4;6;6;3;R$ 600.000
Apartamento com 2 Quartos à Venda, 58m²; | Planalto, Natal - RN;;58;2;1;1;--;R$ 100.000
Apartamento com 3 Quartos à Venda, 90m²; | Tirol, Natal - RN;;90;3;1;1;1;R$ 270.000
Apartamento com 4 Quartos à Venda, 480m²;Avenida Presidente Getúlio Vargas - Petrópolis, Natal - RN;;480;4;5;5;5;R$ 4.800.000
Apartamento com 3 Quartos à Venda, 194m²; | Lagoa Nova, Natal - RN;R$ 900;194;3;1;1;3;R$ 380.000
Apartamento com 3 Quartos à Venda, 101m²;Rua Professora Dirce Coutinho - Ponta Negra, Natal - RN;;101;3;1;1;2;R$ 580.000
Apartamento com 2 Quartos à Venda, 56m²; | Tirol, Natal - RN;R$ 650;56;2;2;2;1;R$ 192.000
Apartamento com 4 Quartos à Venda, 220m²; | Tirol, Natal - RN;R$ 1.600;220;4;1;1;--;R$ 690.000
Apartamento com 3 Quartos à Venda, 92m²;Avenida Capitão-mor Gouveia, 2488 - Cidade da Esperança, Natal - RN;;92;3;2;2;2;R$ 410.000
Apartamento com 3 Quartos à Venda, 137m²; | Lagoa Nova, Natal - RN;R$ 700;137;3;3;3;2;R$ 500.000
Apartamento com 3 Quartos à Venda, 100m²;Rua Desembargador José Gomes da Costa, 1886 - Capim Macio, Natal - RN;R$ 600;100;3;1;1;2;R$ 540.000
Apartamento com 3 Quartos à Venda, 77m²; | Redinha, Natal - RN;R$ 450;77;3;2;2;1;R$ 180.000
Apartamento com 3 Quartos à Venda, 155m²;Rua Tereza Campos - Lagoa Nova, Natal - RN;;155;3;3;3;3;R$ 720.000
Apartamento com 3 Quartos à Venda, 160m²; | Tirol, Natal - RN;R$ 1.400;160;3;1;1;2;R$ 400.000
Apartamento com 3 Quartos à Venda, 120m²; | Barro Vermelho, Natal - RN;;120;3;3;3;2;R$ 210.000
Apartamento com 4 Quartos à Venda, 256m²; | Lagoa Nova, Natal - RN;;256;4;1;1;4;R$ 800.000
Apartamento com 3 Quartos à Venda, 217m²; | Tirol, Natal - RN;R$ 1.771;217;3;5;5;3;R$ 900.000
Apartamento com 2 Quartos à Venda, 56m²;Rua dos Tororós, 2394 - Lagoa Nova, Natal - RN;;56;2;2;2;1;R$ 225.000
Apartamento com 2 Quartos à Venda, 60m²;Rua Vereador João Alves da Silva Filho, 751 - Tirol, Natal - RN;R$ 303;60;2;1;1;1;R$ 295.000
Apartamento com 2 Quartos à Venda, 54m²; | Cidade Satelite, Natal - RN;R$ 240;54;2;1;1;1;R$ 215.000
Apartamento com 3 Quartos à Venda, 123m²;Rua dos Potiguares, 365 - Lagoa Nova, Natal - RN;;123;3;4;4;2;R$ 485.000
Apartamento com 3 Quartos à Venda, 217m²; | Petrópolis, Natal - RN;R$ 1.700;217;3;1;1;2;R$ 850.000
Apartamento com 2 Quartos à Venda, 60m²;Rua dos Tororós, 2394 - Alecrim, Natal - RN;;60;2;2;2;1;R$ 225.000
Apartamento com 2 Quartos à Venda, 65m²;Rua Historiador Tobias Monteiro - Lagoa Nova, Natal - RN;R$ 320;65;2;1;1;1;R$ 200.000
Apartamento com 3 Quartos à Venda, 120m²;Rua Ana Néri, 351 - Petrópolis, Natal - RN;;120;3;2;2;2;R$ 690.000
Apartamento com 2 Quartos à Venda, 54m²; | Cidade Satelite, Natal - RN;R$ 260;54;2;1;1;1;R$ 105.000
Apartamento com 3 Quartos à Venda, 118m²; | Lagoa Nova, Natal - RN;R$ 715;118;3;1;1;2;R$ 520.000
Apartamento com 2 Quartos à Venda, 55m²; | PARNAMIRIM, Natal - RN;;55;2;1;1;1;R$ 175.000
Apartamento com 2 Quartos à Venda, 54m²; | PARNAMIRIM, Natal - RN;R$ 270;54;2;1;1;1;R$ 95.000
Apartamento com 3 Quartos à Venda, 10m²; | Capim Macio, Natal - RN;R$ 620;10;3;1;1;2;R$ 455.000
Apartamento com 2 Quartos à Venda, 45m²; | Pajuçara, Natal - RN;;45;2;1;1;--;R$ 136.000
Apartamento com 4 Quartos à Venda, 165m²; | Tirol, Natal - RN;;165;4;1;1;4;R$ 1.300.000
Apartamento com 3 Quartos à Venda, 10m²; | Cidade da Esperança, Natal - RN;;10;3;1;1;1;R$ 150.000
Apartamento com 3 Quartos à Venda, 100m²; | Tirol, Natal - RN;R$ 750;100;3;1;1;2;R$ 450.000
Apartamento com 2 Quartos à Venda, 64m²; | Ponta Negra, Natal - RN;R$ 486;64;2;1;1;1;R$ 490.000
Apartamento com 3 Quartos à Venda, 65m²; | Capim Macio, Natal - RN;R$ 330;65;3;1;1;1;R$ 230.000
Apartamento com 2 Quartos à Venda, 58m²; | Cidade Satelite, Natal - RN;R$ 260;58;2;1;1;1;R$ 125.000
Apartamento com 3 Quartos à Venda, 101m²;Avenida Deputado Antônio Florêncio de Queiroz - Ponta Negra, Natal - RN;;101;3;3;3;2;R$ 490.000
Apartamento com 2 Quartos à Venda, 45m²; | Potengi, Natal - RN;R$ 150;45;2;1;1;1;R$ 140.000
Apartamento com 4 Quartos à Venda, 150m²; | Lagoa Nova, Natal - RN;R$ 950;150;4;1;1;3;R$ 700.000
Apartamento com 2 Quartos à Venda, 58m²; | Lagoa Nova, Natal - RN;R$ 520;58;2;1;1;1;R$ 320.000
